work_id,subject
23375,Seascapes
23379,Seascapes
23377,Rivers/Lakes
187164,Abstract/Modern Art
187175,Abstract/Modern Art
30108,Abstract/Modern Art
187219,Abstract/Modern Art
187230,Abstract/Modern Art
187241,Abstract/Modern Art
187208,Abstract/Modern Art
187197,Abstract/Modern Art
187147,Abstract/Modern Art
187252,Abstract/Modern Art
187263,Abstract/Modern Art
30110,Abstract/Modern Art
30110,Summer
187138,Abstract/Modern Art
187186,Abstract/Modern Art
30112,Abstract/Modern Art
187274,Abstract/Modern Art
187285,Abstract/Modern Art
187296,Abstract/Modern Art
19099,Winter
19111,Winter
19123,Seascapes
19135,Spring
19137,Seascapes
19139,Winter
19141,Lovers
25539,Portraits
197889,Flowers
28497,Portraits
28499,Portraits
23207,Marine Art/Maritime
23209,Marine Art/Maritime
23211,Marine Art/Maritime
23213,Marine Art/Maritime
23213,Seascapes
23215,Marine Art/Maritime
23217,Marine Art/Maritime
23219,Marine Art/Maritime
23221,Marine Art/Maritime
124186,Summer
124301,Flowers
124356,Flowers
124356,Water Lilies
124327,Nude
122770,Portraits
122726,Flowers
122726,Portraits
122759,Portraits
122748,Flowers
120703,Abstract/Modern Art
120735,Abstract/Modern Art
120746,Abstract/Modern Art
120757,Abstract/Modern Art
120768,Abstract/Modern Art
120779,Abstract/Modern Art
196198,Abstract/Modern Art
120790,Abstract/Modern Art
120801,Abstract/Modern Art
196210,Abstract/Modern Art
120724,Abstract/Modern Art
120812,Abstract/Modern Art
120823,Abstract/Modern Art
122554,Spring
122563,Autumn/Fall
122563,Rivers/Lakes
122590,Autumn/Fall
122599,Rivers/Lakes
122682,Seascapes
122662,Seascapes
122644,Rivers/Lakes
31848,Horses
31850,Horses
31852,Horses
31854,Horses
31856,Horses
31862,Horses
31866,Horses
31868,Horses
31870,Horses
31870,Rivers/Lakes
31874,Horses
31876,Horses
31878,Horses
31880,Horses
31882,Horses
31888,Horses
31890,Horses
31892,Horses
31896,Horses
31898,Horses
31902,Horses
31904,Horses
31906,Horses
123626,Portraits
123626,U.S. Presidents
123615,Portraits
123615,U.S. Presidents
123659,Portraits
123637,Portraits
123637,U.S. Presidents
123670,Portraits
123681,Portraits
123692,Portraits
123648,Portraits
123648,U.S. Presidents
184392,Horses
184403,Horses
184414,Horses
184459,Dogs
184477,Deers
184477,Dogs
184423,Horses
184495,Horses
184486,Tigers
184468,Dogs
28183,Portraits
28185,Portraits
28187,Portraits
28189,Portraits
28191,Portraits
28193,Portraits
28195,Portraits
28197,Portraits
28199,Portraits
28199,U.S. Presidents
28201,Portraits
28201,U.S. Presidents
28203,Portraits
28203,U.S. Presidents
188128,Portraits
188128,U.S. Presidents
28205,Portraits
28207,Portraits
28209,Portraits
28211,Portraits
28213,Portraits
28215,Portraits
28217,Portraits
28219,Portraits
28221,Portraits
28223,Portraits
28225,Portraits
28225,U.S. Presidents
28227,Portraits
28229,Portraits
28231,Portraits
28233,Portraits
28235,Portraits
28237,Portraits
19876,Musics
19882,Flowers
19884,Bridges
19888,Gardens
19890,Winter
19892,Seascapes
19894,Seascapes
19902,Winter
19904,Winter
19912,Musics
19916,Seascapes
19922,Winter
19924,Spring
19928,Musics
30046,Still-Life
30048,Flowers
25545,Jesus Christ
187080,Christianity
187069,Christianity
25549,Christianity
25551,Christianity
25553,Christianity
204763,Christianity
29346,Seascapes
26926,Architectures
26930,Architectures
26934,Architectures
26952,Architectures
26962,Architectures
26964,Architectures
26978,Architectures
2018,Winter
2020,Autumn/Fall
2022,Spring
2024,Autumn/Fall
2024,Gardens
208139,Still-Life
2028,Rivers/Lakes
2028,Winter
2034,Autumn/Fall
2034,Seascapes
2036,Autumn/Fall
2040,Rivers/Lakes
2042,Seascapes
2044,Rivers/Lakes
2050,Water Lilies
2058,Flowers
2060,Flowers
2062,Bridges
2062,Rivers/Lakes
2064,Water Lilies
2066,Seascapes
2068,Seascapes
2070,Seascapes
2072,Gardens
2074,Gardens
2076,Gardens
2082,Rivers/Lakes
2084,Bridges
2084,Rivers/Lakes
2086,Rivers/Lakes
2090,Bridges
2090,Rivers/Lakes
2088,Bridges
2088,Rivers/Lakes
2080,Bridges
2080,Rivers/Lakes
2092,Flowers
2094,Seascapes
2096,Seascapes
2098,Seascapes
2098,Spring
208300,Seascapes
2264,Rivers/Lakes
2100,Seascapes
2104,Rivers/Lakes
2106,Seascapes
2108,Seascapes
2114,Autumn/Fall
2114,Flowers
2120,Seascapes
2124,Seascapes
2126,Flowers
2130,Flowers
2130,Gardens
198264,Dogs
2134,Spring
2146,Summer
2154,Winter
2152,Winter
208110,Rivers/Lakes
2158,Seascapes
2160,Summer
2168,Seascapes
2172,Architectures
2172,Rivers/Lakes
2386,Gardens
2386,Seascapes
2396,Seascapes
29270,Flowers
29270,Gardens
125295,Seascapes
125208,Flowers
125208,Rivers/Lakes
125219,Landscape Art
125219,Winter
125251,Seascapes
125240,Seascapes
125262,Flowers
125273,Winter
125498,Seascapes
125284,Seascapes
125339,Seascapes
125350,Seascapes
125361,Seascapes
125383,Landscape Art
125383,Winter
125507,Autumn/Fall
125507,Flowers
125394,Landscape Art
125394,Winter
125306,Winter
125317,Winter
125471,Autumn/Fall
125471,Landscape Art
125471,Winter
125328,Winter
125427,Landscape Art
125427,Winter
125438,Landscape Art
125438,Winter
125449,Autumn/Fall
125449,Landscape Art
125449,Winter
160753,Landscape Art
160388,Landscape Art
160396,Landscape Art
193949,Lovers
193949,Musics
193880,Gardens
193889,Lovers
27880,Flowers
27882,Gardens
27882,Rivers/Lakes
27884,Rivers/Lakes
27886,Gardens
27886,Rivers/Lakes
171883,Rivers/Lakes
171892,Gardens
171667,Rivers/Lakes
171676,Rivers/Lakes
171685,Rivers/Lakes
27890,Gardens
27892,Rivers/Lakes
27894,Rivers/Lakes
171712,Flowers
171721,Rivers/Lakes
171730,Rivers/Lakes
27900,Gardens
171739,Gardens
27902,Gardens
171748,Gardens
27904,Gardens
5636,Nude
5648,Christianity
5648,Jesus Christ
5650,Horses
5676,Portraits
5712,Christianity
5712,Portraits
5714,Portraits
5718,Horses
5768,Christianity
5768,Jesus Christ
5778,Musics
28935,Marine Art/Maritime
28937,Marine Art/Maritime
28939,Marine Art/Maritime
28941,Marine Art/Maritime
28943,Marine Art/Maritime
28945,Marine Art/Maritime
28947,Marine Art/Maritime
28951,Marine Art/Maritime
28949,Marine Art/Maritime
28953,Churches/Temples/Mosques
28953,Marine Art/Maritime
28955,Marine Art/Maritime
28957,Marine Art/Maritime
2709,Flowers
2713,Nude
2718,Dancers
2728,Dancers
2730,Dancers
2732,Dancers
2736,Dancers
2734,Dancers
2740,Dancers
2738,Dancers
2742,Dancers
2744,Nude
195004,Nude
2856,Horses
2754,Cafes/Bars
2754,Musics
2760,Dancers
2758,Dancers
29249,Portraits
139499,Portraits
122442,Musics
5271,Horses
122518,Flowers
122518,Still-Life
122529,Summer
7111,Cafes/Bars
7113,Dogs
7121,Summer
7123,Cafes/Bars
7125,Cafes/Bars
7131,Portraits
7133,Lovers
7137,Flowers
7145,Cafes/Bars
7147,Rivers/Lakes
7149,Flowers
7161,Lovers
7167,Jesus Christ
20424,Churches/Temples/Mosques
208769,Musics
208781,Gardens
20448,Flowers
27221,Nude
27225,Horses
27239,Gardens
27241,Lovers
27265,Portraits
24317,Lovers
24317,Nude
24329,Nude
24331,Nude
24351,Nude
22637,Summer
22638,Summer
22645,Rivers/Lakes
22655,Summer
22656,Summer
24515,Marine Art/Maritime
24517,Marine Art/Maritime
24519,Marine Art/Maritime
29183,Architectures
29183,Rivers/Lakes
29185,Architectures
178385,Churches/Temples/Mosques
178259,Dancers
178273,Horses
178280,Horses
178420,Gardens
178427,Dancers
178154,Cafes/Bars
178165,Horses
28823,Autumn/Fall
28833,Lovers
28835,Lovers
28837,Nude
28843,Nude
28845,Portraits
28861,Nude
28863,Nude
28869,Lovers
28875,Portraits
198405,Christianity
18963,Jesus Christ
18967,Christianity
18967,Jesus Christ
18965,Christianity
18965,Jesus Christ
18969,Christianity
18969,Jesus Christ
18971,Jesus Christ
204878,Christianity
204878,Jesus Christ
198417,Christianity
18977,Christianity
18993,Portraits
121858,Portraits
121869,Portraits
181636,Portraits
181654,Portraits
181663,Portraits
181672,Portraits
31808,Portraits
206649,Portraits
181645,Portraits
181681,Portraits
121922,Portraits
121931,Portraits
181726,Portraits
121913,Portraits
181690,Portraits
181699,Portraits
181717,Portraits
181708,Portraits
121880,Portraits
121940,Portraits
121891,Portraits
121902,Portraits
31812,Portraits
31814,Portraits
22995,Autumn/Fall
23001,Portraits
23005,Still-Life
23007,Still-Life
23011,Flowers
151064,Rivers/Lakes
151108,Rivers/Lakes
151152,Rivers/Lakes
151163,Winter
151196,Rivers/Lakes
151196,Winter
151207,Spring
151489,Winter
151229,Autumn/Fall
151229,Rivers/Lakes
151251,Bridges
151262,Rivers/Lakes
151273,Rivers/Lakes
151273,Spring
199708,Rivers/Lakes
151295,Rivers/Lakes
27662,Nude
27668,Spring
27670,Bridges
27676,Cafes/Bars
27684,Dancers
27686,Dancers
27694,Nude
27696,Nude
27700,Flowers
27706,Rivers/Lakes
27712,Lovers
154043,Nude
153898,Dogs
154162,Nude
175754,Nude
25640,Horses
25643,Flowers
25647,Jesus Christ
25649,Jesus Christ
25651,Jesus Christ
25653,Horses
25663,Horses
25672,Tigers
25674,Tigers
25676,Tigers
206174,Portraits
25682,Horses
25690,Tigers
25692,Portraits
25696,Flowers
25696,Still-Life
17840,Seascapes
17842,Seascapes
17848,Seascapes
17850,Seascapes
17852,Seascapes
17864,Seascapes
17868,Seascapes
17846,Seascapes
17870,Rivers/Lakes
17872,Rivers/Lakes
17880,Seascapes
17888,Rivers/Lakes
17890,Rivers/Lakes
17892,Rivers/Lakes
30086,Flowers
30092,Flowers
20352,Cafes/Bars
20357,Musics
20368,Bridges
208746,Still-Life
208671,Nude
20376,Still-Life
20382,Nude
20384,Nude
20386,Flowers
20386,Still-Life
20388,Flowers
20388,Still-Life
30296,Rivers/Lakes
30300,Portraits
30302,Portraits
30308,Churches/Temples/Mosques
30306,Churches/Temples/Mosques
30320,Spring
22399,Nude
22404,Still-Life
22405,Still-Life
22406,Still-Life
22419,Gardens
27089,Marine Art/Maritime
199079,Marine Art/Maritime
27091,Marine Art/Maritime
207626,Marine Art/Maritime
27093,Marine Art/Maritime
27095,Marine Art/Maritime
27097,Marine Art/Maritime
27099,Marine Art/Maritime
26300,Architectures
26302,Architectures
26304,Architectures
26306,Architectures
26310,Architectures
26308,Architectures
26314,Architectures
26312,Architectures
26316,Architectures
26318,Architectures
26320,Architectures
26320,Rivers/Lakes
26322,Architectures
26322,Rivers/Lakes
26324,Architectures
26326,Architectures
26328,Architectures
26330,Architectures
26334,Architectures
26332,Architectures
26336,Architectures
26340,Architectures
26342,Architectures
26344,Architectures
26344,Rivers/Lakes
26348,Architectures
26346,Architectures
28667,Landscape Art
186979,Landscape Art
28669,Landscape Art
186988,Landscape Art
187015,Landscape Art
187033,Landscape Art
186997,Landscape Art
28671,Landscape Art
28671,Rivers/Lakes
187006,Landscape Art
28673,Landscape Art
28675,Landscape Art
28677,Landscape Art
187042,Landscape Art
28679,Landscape Art
187051,Landscape Art
28681,Landscape Art
28683,Landscape Art
187060,Landscape Art
28685,Landscape Art
28687,Landscape Art
123601,Flowers
180520,Nude
181130,Abstract/Modern Art
30194,Nude
180762,Abstract/Modern Art
180773,Abstract/Modern Art
180784,Abstract/Modern Art
5802,Horses
5810,Jesus Christ
5894,Dogs
206729,Christianity
29602,Christianity
29602,Jesus Christ
149189,Christianity
149056,Christianity
29606,Christianity
29604,Christianity
149067,Christianity
149078,Christianity
149279,Christianity
149234,Christianity
29610,Christianity
149261,Christianity
149133,Christianity
149270,Christianity
149122,Christianity
23057,Nude
198824,Summer
204291,Nude
23079,Lovers
23087,Musics
23097,Portraits
23099,Portraits
23103,Nude
23105,Churches/Temples/Mosques
23105,Rivers/Lakes
23107,Bridges
23107,Rivers/Lakes
23109,Nude
26272,Portraits
26274,Portraits
26276,Portraits
26278,Portraits
26280,Portraits
26286,Portraits
26288,Portraits
26290,Portraits
26292,Portraits
26294,Portraits
26296,Portraits
26298,Lovers
26298,Nude
187565,Musics
25575,Dogs
25577,Dogs
25577,Musics
187631,Musics
25585,Musics
25585,Portraits
25587,Portraits
25589,Portraits
204830,Portraits
188327,Christianity
26599,Musics
26603,Musics
26627,Portraits
26629,Portraits
26631,Portraits
26633,Portraits
26637,Portraits
26639,Portraits
198607,Portraits
26641,Portraits
26643,Portraits
26645,Portraits
26647,Portraits
160763,Landscape Art
160412,Landscape Art
160783,Landscape Art
22487,Horses
22489,Deers
22489,Gardens
22490,Deers
22490,Gardens
22491,Deers
22492,Dogs
22492,Winter
22496,Horses
22497,Horses
22498,Horses
22507,Horses
22500,Horses
22503,Nude
22511,Horses
22512,Horses
29122,Portraits
29125,Portraits
29127,Portraits
29131,Portraits
29133,Portraits
29137,Portraits
29145,Winter
29149,Winter
29153,Winter
29155,Winter
168801,Landscape Art
185736,Landscape Art
168875,Landscape Art
168819,Landscape Art
168826,Landscape Art
204515,Landscape Art
168833,Landscape Art
168840,Landscape Art
168847,Landscape Art
168854,Landscape Art
204533,Landscape Art
168861,Landscape Art
204524,Landscape Art
185729,Landscape Art
168868,Landscape Art
22738,Horses
22739,Horses
22740,Horses
22742,Horses
22743,Horses
22745,Horses
22748,Horses
22749,Horses
22750,Horses
22751,Horses
22752,Horses
22753,Horses
22754,Horses
22755,Horses
22756,Horses
22757,Horses
22758,Horses
22759,Horses
22760,Horses
22761,Horses
22762,Horses
22763,Horses
22765,Horses
22766,Horses
22767,Horses
19207,Gardens
19209,Spring
19215,Flowers
19223,Rivers/Lakes
207893,Nude
19233,Nude
19235,Nude
19239,Rivers/Lakes
19241,Portraits
19243,Nude
19243,Summer
19247,Nude
19253,Gardens
19255,Gardens
19251,Gardens
125828,Portraits
125839,Portraits
125850,Portraits
126060,Portraits
125861,Portraits
125872,Portraits
125883,Portraits
125894,Portraits
125905,Portraits
24119,Portraits
125916,Portraits
125927,Portraits
125938,Portraits
125960,Portraits
126078,Portraits
125949,Portraits
125982,Portraits
125993,Portraits
126004,Portraits
126015,Portraits
126026,Portraits
126037,Portraits
24123,Portraits
126048,Portraits
204167,Portraits
126069,Portraits
150606,Nude
150530,Dancers
150530,Nude
150551,Dancers
150551,Nude
150562,Nude
150573,Dancers
150573,Nude
150617,Nude
150595,Nude
150648,Dancers
150648,Nude
153120,Spring
153305,Nude
153156,Musics
153261,Nude
153183,Gardens
153192,Dancers
153294,Nude
153363,Lovers
153336,Dancers
153210,Musics
153138,Bridges
153129,Gardens
160444,Christianity
160428,Christianity
29282,Portraits
29284,Portraits
24860,Rivers/Lakes
150910,Bridges
150910,Winter
150921,Landscape Art
150921,Rivers/Lakes
150921,Winter
150943,Rivers/Lakes
150943,Spring
151028,Winter
150964,Spring
150964,Winter
150975,Winter
150986,Rivers/Lakes
150986,Winter
151039,Rivers/Lakes
150997,Landscape Art
150997,Winter
151008,Landscape Art
151008,Rivers/Lakes
151008,Winter
26354,Horses
171482,Dogs
26360,Horses
26362,Dogs
26364,Dogs
26366,Dogs
189151,Horses
189140,Horses
189162,Horses
168149,Horses
168112,Horses
189171,Horses
189180,Horses
189198,Horses
186133,Landscape Art
186133,Summer
185801,Landscape Art
185801,Winter
186142,Landscape Art
186116,Landscape Art
185810,Landscape Art
185819,Landscape Art
207471,Landscape Art
207471,Winter
26818,Autumn/Fall
185828,Landscape Art
186169,Landscape Art
185837,Landscape Art
26822,Landscape Art
207481,Landscape Art
185846,Landscape Art
26824,Spring
185855,Landscape Art
185864,Landscape Art
185873,Landscape Art
207489,Landscape Art
185882,Landscape Art
207513,Landscape Art
185900,Landscape Art
185909,Landscape Art
185918,Landscape Art
122390,Portraits
122390,U.S. Presidents
122236,Portraits
122236,U.S. Presidents
122247,Portraits
122258,Portraits
122280,Portraits
122280,U.S. Presidents
122269,Portraits
122269,U.S. Presidents
122291,Portraits
122291,U.S. Presidents
122302,Portraits
122302,U.S. Presidents
122313,Portraits
122313,U.S. Presidents
122324,Portraits
122324,U.S. Presidents
122335,Portraits
122335,U.S. Presidents
122346,Portraits
122346,U.S. Presidents
122399,Portraits
122399,U.S. Presidents
122357,Portraits
122368,Portraits
122368,U.S. Presidents
122417,Portraits
122417,U.S. Presidents
122379,Portraits
122408,Portraits
20710,Portraits
20722,Portraits
169011,Portraits
20760,Portraits
20764,Portraits
20768,Portraits
20770,Portraits
20772,Portraits
20774,Portraits
20778,Portraits
20782,Portraits
199739,Portraits
21539,Horses
21539,Tigers
21537,Horses
21537,Tigers
21541,Deers
21541,Tigers
21547,Dogs
21553,Horses
21559,Dogs
21561,Deers
21561,Dogs
21567,Horses
21567,Tigers
21569,Deers
21569,Dogs
21575,Horses
21579,Horses
21581,Horses
21585,Horses
17660,Rivers/Lakes
17660,Winter
17668,Winter
17670,Bridges
17704,Horses
17714,Winter
23259,Gardens
23269,Musics
23269,Still-Life
26984,Christianity
26986,Christianity
26988,Christianity
26992,Musics
119600,Christianity
121340,Flowers
121362,Flowers
183731,Flowers
183821,Nude
183831,Nude
121373,Flowers
183741,Flowers
183912,Gardens
183621,Nude
139286,Flowers
139386,Nude
139333,Nude
139242,Still-Life
139304,Still-Life
139264,Nude
139395,Nude
139220,Seascapes
139275,Nude
183086,Jesus Christ
30050,Jesus Christ
183096,Jesus Christ
30052,Dancers
30210,Rivers/Lakes
195388,Rivers/Lakes
30230,Nude
30240,Rivers/Lakes
30248,Architectures
30256,Rivers/Lakes
30258,Rivers/Lakes
30260,Rivers/Lakes
21335,Dogs
21345,Musics
21355,Lovers
21359,Horses
206136,Portraits
21369,Portraits
21371,Portraits
26539,Christianity
26539,Jesus Christ
26541,Christianity
26541,Jesus Christ
167737,Christianity
167737,Jesus Christ
26545,Musics
26547,Christianity
199763,Jesus Christ
193498,Architectures
193512,Architectures
193566,Architectures
193575,Architectures
193557,Architectures
198656,Architectures
193505,Architectures
