size_id,width,height,label
2637,26,37,"26"" x 37""(66 cm x 94 cm)"
2639,26,39,"26"" x 39""(66 cm x 99 cm)"
2640,26,40,"26"" x 40""(66 cm x 102 cm)"
2726,27,26,"27"" x 26""(69 cm x 66 cm)"
2733,27,33,"27"" x 33""(69 cm x 84 cm)"
2735,27,35,"27"" x 35""(69 cm x 89 cm)"
2823,28,23,"28"" x 23""(71 cm x 58 cm)"
2922,29,22,"29"" x 22""(74 cm x 56 cm)"
2923,29,23,"29"" x 23""(74 cm x 58 cm)"
2924,29,24,"29"" x 24""(74 cm x 61 cm)"
2925,29,25,"29"" x 25""(74 cm x 64 cm)"
2936,29,36,"29"" x 36""(74 cm x 91 cm)"
2937,29,37,"29"" x 37""(74 cm x 94 cm)"
2938,29,38,"29"" x 38""(74 cm x 97 cm)"
2939,29,39,"29"" x 39""(74 cm x 99 cm)"
3020,30,20,"30"" x 20""(76 cm x 51 cm)"
3024,30,24,"30"" x 24""(76 cm x 61 cm)"
3030,30,30,"30"" x 30""(76 cm x 76 cm)"
3034,30,34,"30"" x 34""(76 cm x 86 cm)"
3037,30,37,"30"" x 37""(76 cm x 94 cm)"
3040,30,40,"30"" x 40""(76 cm x 102 cm)"
3046,30,46,"30"" x 46""(76 cm x 117 cm)"
3060,30,60,"30"" x 60""(76 cm x 152 cm)"
3124,31,24,"31"" x 24""(79 cm x 61 cm)"
3125,31,25,"31"" x 25""(79 cm x 64 cm)"
3216,32,16,"32"" x 16""(81 cm x 41 cm)"
3218,32,18,"32"" x 18""(81 cm x 46 cm)"
3223,32,23,"32"" x 23""(81 cm x 58 cm)"
3224,32,24,"32"" x 24""(81 cm x 61 cm)"
3225,32,25,"32"" x 25""(81 cm x 64 cm)"
3226,32,26,"32"" x 26""(81 cm x 66 cm)"
3232,32,32,"32"" x 32""(81 cm x 81 cm)"
3235,32,35,"32"" x 35""(81 cm x 89 cm)"
3239,32,39,"32"" x 39""(81 cm x 99 cm)"
3240,32,40,"32"" x 40""(81 cm x 102 cm)"
3242,32,42,"32"" x 42""(81 cm x 107 cm)"
3244,32,44,"32"" x 44""(81 cm x 112 cm)"
3246,32,46,"32"" x 46""(81 cm x 117 cm)"
3251,32,51,"32"" x 51""(81 cm x 130 cm)"
3324,33,24,"33"" x 24""(84 cm x 61 cm)"
3326,33,26,"33"" x 26""(84 cm x 66 cm)"
3528,35,28,"35"" x 28""(89 cm x 71 cm)"
3537,35,37,"35"" x 37""(89 cm x 94 cm)"
3538,35,38,"35"" x 38""(89 cm x 97 cm)"
3541,35,41,"35"" x 41""(89 cm x 104 cm)"
3545,35,45,"35"" x 45""(89 cm x 114 cm)"
3546,35,46,"35"" x 46""(89 cm x 117 cm)"
3622,36,22,"36"" x 22""(91 cm x 56 cm)"
3624,36,24,"36"" x 24""(91 cm x 61 cm)"
3626,36,26,"36"" x 26""(91 cm x 66 cm)"
3627,36,27,"36"" x 27""(91 cm x 69 cm)"
3628,36,28,"36"" x 28""(91 cm x 71 cm)"
3629,36,29,"36"" x 29""(91 cm x 74 cm)"
3632,36,32,"36"" x 32""(91 cm x 81 cm)"
3636,36,36,"36"" x 36""(91 cm x 91 cm)"
3637,36,37,"36"" x 37""(91 cm x 94 cm)"
3643,36,43,"36"" x 43""(91 cm x 109 cm)"
3648,36,48,"36"" x 48""(91 cm x 122 cm)"
3652,36,52,"36"" x 52""(91 cm x 132 cm)"
3654,36,54,"36"" x 54""(91 cm x 137 cm)"
3672,36,72,"36"" x 72""(91 cm x 183 cm)"
3726,37,26,"37"" x 26""(94 cm x 66 cm)"
3728,37,28,"37"" x 28""(94 cm x 71 cm)"
3729,37,29,"37"" x 29""(94 cm x 74 cm)"
3730,37,30,"37"" x 30""(94 cm x 76 cm)"
3732,37,32,"37"" x 32""(94 cm x 81 cm)"
3735,37,35,"37"" x 35""(94 cm x 89 cm)"
3830,38,30,"38"" x 30""(97 cm x 76 cm)"
3847,38,47,"38"" x 47""(97 cm x 119 cm)"
3851,38,51,"38"" x 51""(97 cm x 130 cm)"
3926,39,26,"39"" x 26""(99 cm x 66 cm)"
3929,39,29,"39"" x 29""(99 cm x 74 cm)"
3931,39,31,"39"" x 31""(99 cm x 79 cm)"
3932,39,32,"39"" x 32""(99 cm x 81 cm)"
3934,39,34,"39"" x 34""(99 cm x 86 cm)"
3935,39,35,"39"" x 35""(99 cm x 89 cm)"
3939,39,39,"39"" x 39""(99 cm x 99 cm)"
3979,39,79,"39"" x 79""(99 cm x 201 cm)"
4020,40,20,"40"" x 20""(102 cm x 51 cm)"
4024,40,24,"40"" x 24""(102 cm x 61 cm)"
4026,40,26,"40"" x 26""(102 cm x 66 cm)"
4030,40,30,"40"" x 30""(102 cm x 76 cm)"
4032,40,32,"40"" x 32""(102 cm x 81 cm)"
4040,40,40,"40"" x 40""(102 cm x 102 cm)"
4060,40,60,"40"" x 60""(102 cm x 152 cm)"
4080,40,80,"40"" x 80""(102 cm x 203 cm)"
4120,41,20,"41"" x 20""(104 cm x 51 cm)"
4130,41,30,"41"" x 30""(104 cm x 76 cm)"
4236,42,36,"42"" x 36""(107 cm x 91 cm)"
4352,43,52,"43"" x 52""(109 cm x 132 cm)"
4382,43,82,"43"" x 82""(109 cm x 208 cm)"
4430,44,30,"44"" x 30""(112 cm x 76 cm)"
4434,44,34,"44"" x 34""(112 cm x 86 cm)"
4532,45,32,"45"" x 32""(114 cm x 81 cm)"
4534,45,34,"45"" x 34""(114 cm x 86 cm)"
4630,46,30,"46"" x 30""(117 cm x 76 cm)"
4635,46,35,"46"" x 35""(117 cm x 89 cm)"
4636,46,36,"46"" x 36""(117 cm x 91 cm)"
4639,46,39,"46"" x 39""(117 cm x 99 cm)"
4739,47,39,"47"" x 39""(119 cm x 99 cm)"
4824,48,24,"48"" x 24""(122 cm x 61 cm)"
4836,48,36,"48"" x 36""(122 cm x 91 cm)"
4848,48,48,"48"" x 48""(122 cm x 122 cm)"
4860,48,60,"48"" x 60""(122 cm x 152 cm)"
4872,48,72,"48"" x 72""(122 cm x 183 cm)"
4896,48,96,"48"" x 96""(122 cm x 244 cm)"
5063,50,63,"50"" x 63""(127 cm x 160 cm)"
5065,50,65,"50"" x 65""(127 cm x 165 cm)"
5135,51,35,"51"" x 35""(130 cm x 89 cm)"
5137,51,37,"51"" x 37""(130 cm x 94 cm)"
5138,51,38,"51"" x 38""(130 cm x 97 cm)"
5139,51,39,"51"" x 39""(130 cm x 99 cm)"
5264,52,64,"52"" x 64""(132 cm x 163 cm)"
5429,54,29,"54"" x 29""(137 cm x 74 cm)"
5436,54,36,"54"" x 36""(137 cm x 91 cm)"
5439,54,39,"54"" x 39""(137 cm x 99 cm)"
5468,54,68,"54"" x 68""(137 cm x 173 cm)"
5648,56,48,"56"" x 48""(142 cm x 122 cm)"
5691,56,91,"56"" x 91""(142 cm x 231 cm)"
5842,58,42,"58"" x 42""(147 cm x 107 cm)"
5845,58,45,"58"" x 45""(147 cm x 114 cm)"
5936,59,36,"59"" x 36""(150 cm x 91 cm)"
6030,60,30,"60"" x 30""(152 cm x 76 cm)"
6040,60,40,"60"" x 40""(152 cm x 102 cm)"
6048,60,48,"60"" x 48""(152 cm x 122 cm)"
6060,60,60,"60"" x 60""(152 cm x 152 cm)"
6451,64,51,"64"" x 51""(163 cm x 130 cm)"
6765,67,65,"67"" x 65""(170 cm x 165 cm)"
6854,68,54,"68"" x 54""(173 cm x 137 cm)"
6951,69,51,"69"" x 51""(175 cm x 130 cm)"
6952,69,52,"69"" x 52""(175 cm x 132 cm)"
6961,69,61,"69"" x 61""(175 cm x 155 cm)"
7048,70,48,"70"" x 48""(178 cm x 122 cm)"
7171,71,71,"71"" x 71""(180 cm x 180 cm)"
7236,72,36,"72"" x 36""(183 cm x 91 cm)"
7248,72,48,"72"" x 48""(183 cm x 122 cm)"
7761,77,61,"77"" x 61""(196 cm x 155 cm)"
7940,79,40,"79"" x 40""(201 cm x 102 cm)"
7955,79,55,"79"" x 55""(201 cm x 140 cm)"
7963,79,63,"79"" x 63""(201 cm x 160 cm)"
8040,80,40,"80"" x 40""(203 cm x 102 cm)"
8051,80,51,"80"" x 51""(203 cm x 130 cm)"
8959,89,59,"89"" x 59""(226 cm x 150 cm)"
9648,96,48,"96"" x 48""(244 cm x 122 cm)"
